"","doy","park","month","decades","accumswe_daily","aet_daily","deficit_daily","pet_daily","rain_daily","runoff_daily","soil_water_daily"
"252",6,"CANY","Jan","2060-2099",0.295,0.25,0.1575,0.4075,0.555,0.37,6.8975
"253",6,"CARE","Jan","1980-2019",6.68,0.055,0.0325,0.085,0,0,28.1575
"254",6,"CARE","Jan","2020-2059",2.8075,0.125,0.1,0.22,0.075,0,27.2175
"255",6,"CARE","Jan","2060-2099",1.06,0.1525,0.1375,0.2875,0.53,0,28.12
"256",6,"CEBR","Jan","1980-2019",156.14,0,0,0,0,0.7225,226.7525
"257",6,"CEBR","Jan","2020-2059",104.2,0.0225,0.0025,0.025,0.09,0.4575,228.29
"258",6,"CEBR","Jan","2060-2099",40.655,0.04,0.005,0.045,1.0825,2.0825,225.4725
"259",6,"COLM","Jan","1980-2019",9.895,0.0625,0.01,0.07,0.2025,0.4575,44.71
"260",6,"COLM","Jan","2020-2059",1.6025,0.14,0.065,0.2025,0.36,0.075,44.3825
"261",6,"COLM","Jan","2060-2099",0.4875,0.2925,0.15,0.45,0.7175,0.125,35.5425
"262",6,"CURE","Jan","1980-2019",28.2225,0,0,0,0,0,21.98
"263",6,"CURE","Jan","2020-2059",23.505,0,0,0,0.0075,0,22.29
"264",6,"CURE","Jan","2060-2099",14.5575,0.0125,0.0025,0.015,0.1425,0.215,20.0925
"265",6,"DINO","Jan","1980-2019",14.925,0.0125,0.0025,0.015,0,0.005,40.9275
"266",6,"DINO","Jan","2020-2059",6.5675,0.055,0.025,0.0825,0.0675,0.1975,41.815
"267",6,"DINO","Jan","2060-2099",4.2,0.1025,0.025,0.1375,0.3575,0.0675,46.5725
"268",6,"FOBU","Jan","1980-2019",40.4775,0,0,0,0,0,165.1075
"269",6,"FOBU","Jan","2020-2059",31.8825,0.005,0.0025,0.0075,0.0675,0,138.655
"270",6,"FOBU","Jan","2060-2099",8.6275,0.0325,0.035,0.0675,0.48,0,131.0275
"271",6,"GOSP","Jan","1980-2019",21.665,0.0275,0.005,0.035,0.0375,0.21,66.5275
